瘤痢锅龋,瘤痢疙,老矫,乞闭扁柯(∩),弥绊扁柯(∩),,弥绊扁柯矫阿,弥历扁柯(∩),弥历扁柯矫阿老背瞒
159,何魂,2021-01-01,0.3,4.6,13:18,-5,6:49,9.6
159,何魂,2021-01-02,1.3,5,13:52,-1.6,23:35,6.6
159,何魂,2021-01-03,0.1,3.7,14:29,-2.7,5:40,6.4
159,何魂,2021-01-04,3,9,14:01,-2.2,6:22,11.2
159,何魂,2021-01-05,3,8,11:04,-2.2,23:58,10.2
159,何魂,2021-01-06,-1.7,2.4,14:02,-5.9,6:28,8.3
159,何魂,2021-01-07,-6.1,0.2,0:46,-10.4,23:46,10.6
159,何魂,2021-01-08,-8.2,-2.2,16:26,-12.2,6:49,10
159,何魂,2021-01-09,-5.9,0.3,15:11,-10.2,4:10,10.5
159,何魂,2021-01-10,-2.3,3.6,16:32,-7.8,4:32,11.4
159,何魂,2021-01-11,0.2,4.5,13:49,-3.1,5:29,7.6
159,何魂,2021-01-12,1.4,5.5,14:54,-3.5,7:25,9
159,何魂,2021-01-13,7.1,11.7,15:18,1.4,2:01,10.3
159,何魂,2021-01-14,8.9,14.5,12:30,4.7,7:51,9.8
159,何魂,2021-01-15,11.9,15.7,13:54,7.2,0:01,8.5
159,何魂,2021-01-16,5.7,11.9,0:01,0.1,23:59,11.8
159,何魂,2021-01-17,-0.5,3.4,13:21,-3.4,8:05,6.8
159,何魂,2021-01-18,1.1,6,13:13,-2.4,3:35,8.4
159,何魂,2021-01-19,0.2,5.7,14:26,-4.2,6:41,9.9
159,何魂,2021-01-20,5.4,12,13:11,-0.8,4:58,12.8
159,何魂,2021-01-21,8.9,13.8,11:59,4,6:47,9.8
159,何魂,2021-01-22,10.1,11.8,13:17,8.4,0:24,3.4
159,何魂,2021-01-23,10.4,11.6,11:33,9.6,9:30,2
159,何魂,2021-01-24,9.2,12.6,11:05,8.7,6:20,3.9
159,何魂,2021-01-25,9.3,13.2,14:36,7.4,5:31,5.8
159,何魂,2021-01-26,7.7,9.1,4:25,6.6,20:54,2.5
159,何魂,2021-01-27,7.4,12.9,13:37,3.9,7:26,9
159,何魂,2021-01-28,4.4,11.1,14:32,-2.9,24:00:00,14
159,何魂,2021-01-29,-2.6,2.7,16:08,-6.3,7:10,9
159,何魂,2021-01-30,3.1,8.8,15:37,-4,3:21,12.8
159,何魂,2021-01-31,8.7,13.1,13:56,2.4,7:35,10.7
159,何魂,2021-02-01,10,12.1,5:08,8.5,23:57,3.6
159,何魂,2021-02-02,2.3,8.5,0:01,-2.2,23:48,10.7
159,何魂,2021-02-03,0.7,4.9,14:00,-3.4,7:32,8.3
159,何魂,2021-02-04,5.1,9.5,16:02,2.3,0:01,7.2
159,何魂,2021-02-05,5.3,8.9,11:43,0.6,8:05,8.3
159,何魂,2021-02-06,9.5,13.7,14:52,5.1,7:05,8.6
159,何魂,2021-02-07,10.1,15.8,14:03,6.3,7:34,9.5
159,何魂,2021-02-08,3.2,9,0:01,-1,23:55,10
159,何魂,2021-02-09,2.8,8.9,17:04,-3.2,6:41,12.1
159,何魂,2021-02-10,6.6,12.4,14:19,1.9,6:27,10.5
159,何魂,2021-02-11,8.3,12.3,11:44,4,6:47,8.3
159,何魂,2021-02-12,10.7,16.1,13:56,7.1,7:02,9
159,何魂,2021-02-13,12.6,18.8,12:34,7.7,7:27,11.1
159,何魂,2021-02-14,11.9,13.9,16:08,10,5:35,3.9
159,何魂,2021-02-15,8.1,13.1,11:40,0.4,23:55,12.7
159,何魂,2021-02-16,2,7.1,15:12,-1.9,23:54,9
159,何魂,2021-02-17,-3.2,0.3,15:04,-5.5,23:58,5.8
159,何魂,2021-02-18,-2.4,3.2,16:00,-7.2,6:53,10.4
159,何魂,2021-02-19,4.3,10.7,15:56,-3.2,4:59,13.9
159,何魂,2021-02-20,11.8,17.5,14:11,7.4,0:13,10.1
159,何魂,2021-02-21,14.6,19.3,13:58,10.4,1:12,8.9
159,何魂,2021-02-22,15.2,18.6,12:08,11.8,23:56,6.8
159,何魂,2021-02-23,8.4,13.5,14:08,4.8,7:12,8.7
